latitude_old,longitude_old,latitude,longitude,altitude_m,speed_mps,steeringAngleDegree,latitude_future,longitude_future
35.1931786,-97.43872383,35.19317742,-97.43872613,334.129677,4.76196146,212.8000031,35.1931762,-97.438728
35.19317742,-97.43872613,35.19317619,-97.4387284,334.1304037,4.762917042,214,35.1931749,-97.438731
35.19317619,-97.4387284,35.19317494,-97.43873062,334.1313239,4.767806053,214,35.1931736,-97.438733
35.19317494,-97.43873062,35.19317363,-97.4387328,334.1341451,4.774040222,214.1000061,35.1931723,-97.438735
35.19317363,-97.4387328,35.19317232,-97.43873492,334.1370399,4.78277874,214.1000061,35.1931709,-97.438737
35.19317232,-97.43873492,35.19317095,-97.43873705,334.1401479,4.782657146,214.1000061,35.1931696,-97.438739
35.19317095,-97.43873705,35.19316957,-97.43873909,334.1437875,4.782747269,214.1000061,35.1931661,-97.438742
35.19316957,-97.43873909,35.19316614,-97.43874213,333.9020524,4.777039528,215,35.1931649,-97.438744
35.19316614,-97.43874213,35.19316495,-97.43874375,333.9052017,4.774156094,215.8999939,35.1931634,-97.438746
35.19316495,-97.43874375,35.19316345,-97.43874572,333.9094611,4.78395319,218.3999939,35.1931619,-97.438748
35.19316345,-97.43874572,35.19316191,-97.43874769,333.9127164,4.78647995,221.5,35.1931603,-97.43875
35.19316191,-97.43874769,35.19316035,-97.4387496,333.9160539,4.786379337,224.6000061,35.1931588,-97.438751
35.19316035,-97.4387496,35.19315879,-97.4387514,333.9198249,4.785683155,228.1000061,35.1931571,-97.438753
35.19315879,-97.4387514,35.19315711,-97.43875321,333.9257353,4.784207344,230.5,35.1931555,-97.438755
35.19315711,-97.43875321,35.19315545,-97.43875494,333.9313309,4.787137985,233.6999969,35.1931537,-97.438757
35.19315545,-97.43875494,35.19315375,-97.43875663,333.9379234,4.788560867,236.8999939,35.193152,-97.438758
35.19315375,-97.43875663,35.19315198,-97.43875829,333.9462237,4.797836304,241.1000061,35.1931503,-97.43876
35.19315198,-97.43875829,35.1931503,-97.43875981,333.9543959,4.806252003,244.3999939,35.1931485,-97.438761
35.1931503,-97.43875981,35.19314851,-97.43876132,333.96452,4.809295177,248.6000061,35.1931466,-97.438763
