Filter,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.elevator,RC.throttle,RC.rudder,RC.aileron,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength,
0,4.5,32.82455584,-95.30655272,424,,0,0,-0.100000166,-0.8,-0.7,89.8,0,1024,1024,1024,1024,,12.795276,0,94,7.89,5.061,NE,0.2995168,Calm,
1,4.6,32.82455582,-95.30655273,424,,0,0,0,-0.1,-0.2,89.8,0,1024,1024,1024,1024,,12.795276,0,94,7.89,5.061,NE,0.2995168,Calm,
2,4.7,32.82455583,-95.30655274,424,,0,0,0,0.1,-0.9,89.9,0,1024,1024,1024,1024,,12.795276,0,94,7.89,5.061,NE,0.2995168,Calm,
3,4.8,32.82455578,-95.30655274,424,,0,0,0,-0.4,-1.4,89.9,0,1024,1024,1024,1024,,12.795276,0.044704,94,7.89,5.061,NE,0.2995168,Calm,
4,4.9,32.8245558,-95.30655275,424,,0,0,0,-0.6,-1.2,89.9,0,1024,1024,1024,1024,,12.795276,0.044704,94,7.89,5.061,NE,0.2995168,Calm,
0,5,32.82455578,-95.30655276,424,,0,0,0,-0.4,-1.1,89.9,0,1024,1024,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.2995168,Calm,
1,5.1,32.82455573,-95.30655275,424,,0,0,0,-0.7,-0.9,90,0,1024,1024,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.2995168,Calm,
2,5.2,32.82455562,-95.30655269,424,,0,0,0,-1.4,-0.6,89.9,0,1024,1024,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
3,5.3,32.82455563,-95.30655266,424,,0,0,0,-1.8,-0.6,89.8,0,1024,1044,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
4,5.4,32.82455562,-95.30655263,424,,0,0,0,-1.2,-0.7,89.9,0,1024,1141,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
0,5.5,32.82455558,-95.30655261,424,,0,0,0,-0.8,-0.5,89.9,0,1024,1141,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
1,5.6,32.8245556,-95.30655262,424,,0,0,0,-1.3,-0.4,89.9,0,1024,1151,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
2,5.7,32.82455561,-95.30655261,424,,0,0,-0.100000166,-1.6,-0.8,89.9,0,1024,1153,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
3,5.8,32.8245557,-95.30655255,424,,0,0,-0.200000332,-0.6,-0.8,90,0,1024,1152,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
4,5.9,32.82455573,-95.30655252,424,,0,0,-0.200000332,0,-0.9,90,0,1024,1151,1024,1024,,12.795276,0.044704,94,7.89,5.075,NE,0.3978656,Calm,
0,6,32.82455579,-95.30655254,424,,0,0,-0.200000332,-0.4,-0.8,89.9,0,1024,1151,1024,1024,,13.779528,0,94,7.886,5.123,NE,0.3978656,Calm,
1,6.1,32.82455583,-95.30655252,424,,0,0,-0.200000332,-0.6,-0.5,89.9,0,1024,1153,1024,1024,,13.779528,0,94,7.886,5.123,NE,0.4962144,Calm,
2,6.2,32.82455595,-95.30655253,424,,0,0,-0.200000332,-0.2,-0.6,90,0,1024,1163,1024,1024,,13.779528,0,94,7.886,5.123,NE,0.4962144,Calm,
3,6.3,32.82455599,-95.30655248,424,,0,0,-0.200000332,0,-0.7,90,0,1024,1185,1024,1024,,13.779528,0,94,7.886,5.123,NE,0.4962144,Calm,
4,6.4,32.82455595,-95.30655245,424,,0,0,-0.300000497,-0.1,-0.2,90.1,0,1024,1185,1024,1024,,14.76378,0,94,7.886,5.123,NE,0.4962144,Calm,
0,6.5,32.82455596,-95.30655243,424,,0,0,-0.400000663,0,-0.3,90.1,0,1024,1190,1024,1024,,14.76378,0,94,7.886,5.123,NE,0.4962144,Calm,
1,6.6,32.82455596,-95.30655241,425,,0,0,-0.400000663,0,-0.7,90.1,0,1024,1192,1024,1024,,16.076116,0,94,7.886,5.123,NE,0.4962144,Calm,
2,6.7,32.82455587,-95.30655255,425,,0,0,-0.400000663,-0.5,-0.4,90.2,0,1024,1217,1024,1024,,16.076116,0,94,7.886,5.123,NE,0.4962144,Calm,
3,6.8,32.82455585,-95.30655253,425,,0,0,-0.400000663,-0.8,0,90.1,0,1024,1226,1024,1024,,16.076116,0,94,7.886,5.123,NE,0.4962144,Calm,
4,6.9,32.82455586,-95.30655246,425,,0,0,-0.500000829,-0.9,-0.2,90.1,0,1024,1232,1024,1024,,17.060368,0,94,7.886,5.123,NE,0.4962144,Calm,
0,7,32.82455584,-95.30655247,425,,0,0,-0.600000995,-1,-0.7,90.1,0,1024,1256,1024,1024,,17.060368,0,94,7.886,5.123,NE,0.4962144,Calm,
