OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],OSD.xSpeed [m/s],MPH to m/s,OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,OSD.vpsHeight [m],ft to m,HOME.heightLimit [ft],HOME.distance [ft],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
3.8,35.18360215,-97.44557155,1130,0,,0,-0.400000663,4.3,0.7,132.3,0,1024,1024,1024,1024,8.530184,,322.834656,2.296588,97,7.964,5.359,NW,0.5990336,Calm
3.9,35.18360224,-97.44557147,1130,0,,0,-0.500000829,4.2,1.3,132.3,0,1024,1024,1024,1024,9.514436,,322.834656,2.296588,97,7.964,5.359,NW,0.5990336,Calm
4,35.18360224,-97.44557144,1131,0,,0,-0.500000829,3.9,1.6,132.3,0,1024,1024,1024,1024,9.514436,,322.834656,2.296588,97,7.964,5.359,NW,0.6973824,Calm
4.1,35.18360217,-97.4455714,1131,0,,0,-0.500000829,3.8,1.1,132.3,0,1024,1024,1024,1024,10.498688,,322.834656,2.296588,97,7.964,5.359,NW,0.6973824,Calm
4.2,35.1836022,-97.44557145,1131,0,,0,-0.500000829,3.7,0.3,132.2,0,1024,1024,1024,1024,10.498688,,322.834656,2.296588,97,7.964,5.359,NW,0.7957312,Calm
4.3,35.18360223,-97.44557146,1131,0,,0,-0.400000663,3.6,1.3,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.964,5.359,NW,0.7957312,Calm
4.4,35.18360228,-97.44557148,1131,0,,0,-0.400000663,2.8,2,132,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.964,5.359,NW,0.8985504,Calm
4.5,35.18360238,-97.44557147,1131,0,,0,-0.200000332,4,1.4,132,0,1024,1024,1024,1024,12.795276,,322.834656,2.296588,97,7.964,5.359,NW,0.8985504,Calm
4.6,35.18360241,-97.44557152,1131,0,,0,0,1.6,2.9,132.2,0,1024,1024,1024,1024,12.795276,,322.834656,2.296588,97,7.964,5.359,NW,0.9968992,Calm
4.7,35.18360239,-97.4455716,1131,0,,0,0,1,-0.4,132.8,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.964,5.359,NW,0.9968992,Calm
4.8,35.18360233,-97.44557167,1132,0,,0,0,3.7,-3.1,132.3,0,1024,1024,1024,1024,12.795276,,322.834656,1.968504,97,7.952,5.359,NW,0.9968992,Calm
4.9,35.18360233,-97.44557166,1132,0,,0,0,5,-1,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.952,5.359,NW,1.0997184,Calm
5,35.18360234,-97.44557159,1131,0,,0,0,3.4,2.4,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.952,5.359,NW,1.0997184,Calm
5.1,35.18360237,-97.44557157,1131,0,,0,0,3.3,3.1,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.952,5.359,NW,1.1980672,Calm
5.2,35.18360233,-97.44557154,1131,0,,0,0,3.7,1.6,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.359,NW,1.1980672,Calm
5.3,35.18360231,-97.44557153,1131,0,,0,0,4.7,0.6,132.3,0,1024,1024,1024,1024,12.795276,,322.834656,2.296588,97,7.952,5.359,NW,1.296416,Calm
5.4,35.18360228,-97.44557152,1131,0,,0,0,5.5,0.2,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.296416,Calm
5.5,35.18360224,-97.44557148,1131,0,,0,0,5.1,0.9,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.3992352,Calm
5.6,35.18360223,-97.44557144,1131,0,,0,0,4.6,1.7,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.3992352,Calm
5.7,35.18360222,-97.44557133,1132,0,,0,0,5.5,2.6,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.497584,Calm
5.8,35.18360221,-97.4455713,1131,0,,0,0,5.8,1.6,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.497584,Calm
5.9,35.18360218,-97.44557128,1131,0,,0,0,5.4,1.1,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,2.624672,97,7.952,5.008,NW,1.5959328,Calm
6,35.18360219,-97.44557126,1131,0,,0,0,5.2,2.1,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,2.624672,97,7.952,5.008,NW,1.5959328,Calm
6.1,35.18360225,-97.44557134,1131,0,,0,0,4.4,1.8,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.698752,Calm
6.2,35.18360226,-97.44557137,1131,0,,0,0,4.7,0.8,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.7971008,Calm
6.3,35.18360227,-97.44557138,1131,0,,0,0,4.5,1.2,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.7971008,Calm
6.4,35.1836023,-97.44557138,1131,0,,0,0,4.6,2.1,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,1.89992,Calm
6.5,35.18360233,-97.44557137,1131,0,,0,0,5.2,3.3,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,1.89992,Calm
6.6,35.18360233,-97.44557137,1131,0,,0,0,5.2,2.4,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,1.9982688,Calm
6.7,35.18360232,-97.4455714,1131,0,,0,0,5.4,1.7,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,1.9982688,Calm
6.8,35.18360232,-97.44557143,1131,0,,0,0,5.6,0.9,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,2.0966176,Calm
6.9,35.18360235,-97.44557147,1131,0,,0,0,5.2,1.4,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,2.0966176,Calm
7,35.18360237,-97.44557149,1131,0,,0,0,4.7,1.8,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,2.1994368,Calm
7.1,35.1836024,-97.44557151,1131,0,,0,0,4.3,2.7,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,2.1994368,Calm
7.2,35.18360241,-97.44557154,1131,0,,0,0,4.7,2.5,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.933,5.008,NW,2.2977856,Calm
7.3,35.1836024,-97.44557157,1131,0,,0,0,5,1.2,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.933,5.008,NW,2.3961344,Calm
7.4,35.18360241,-97.44557162,1131,0,,0,0,4.4,1.8,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.933,5.183,NW,2.3961344,Calm
7.5,35.18360244,-97.44557167,1131,0,,0,0,3.7,1.7,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.933,5.183,NW,2.3961344,Calm
7.6,35.18360245,-97.44557171,1131,0,,0,0,4.7,0.9,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.933,5.183,NW,2.4989536,Calm
7.7,35.18360248,-97.44557173,1131,0,,0,0,4.1,1.6,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.933,5.183,NW,2.4989536,Calm
7.8,35.18360251,-97.44557174,1131,0,,0,0,4.2,2,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.919,5.183,NW,2.5973024,Calm
7.9,35.18360251,-97.44557176,1131,0,,0,0,5,2.8,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.919,5.183,W,2.5973024,Calm
8,35.18360252,-97.44557179,1131,0,,0,0,4.8,2.9,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.919,5.183,NW,2.6956512,Calm
8.1,35.18360252,-97.44557184,1131,0,,0,0,4.3,1.6,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.919,5.183,NW,2.6956512,Calm
8.2,35.18360251,-97.4455719,1131,0,,0,0,4.1,1.1,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.183,NW,2.6956512,Calm
8.3,35.18360249,-97.44557195,1131,0,,0,0,4.3,0.5,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.183,NW,2.7984704,Calm
8.4,35.18360245,-97.44557199,1131,0,,0,0,5,-0.1,132,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.7984704,Calm
8.5,35.18360242,-97.44557199,1131,0,,0,0,5.6,1.3,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.7984704,Calm
8.6,35.18360242,-97.44557199,1131,0,,0,0,5.2,1.5,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.8968192,Calm
8.7,35.18360243,-97.44557197,1131,0,,0,0,5.1,1.7,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.8968192,Calm
8.8,35.18360245,-97.44557197,1131,0,,0,0,5.1,1.7,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.8968192,Calm
8.9,35.18360247,-97.44557197,1131,0,,0,0,5.1,2.3,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.9996384,Calm
9,35.18360248,-97.44557197,1131,0,,0,0,5.3,2.7,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.9996384,Calm
9.1,35.18360247,-97.44557198,1131,0,,0,0,5.2,2,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,2.9996384,Calm
