OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
199.5,32.82517689,-95.30651658,423,,-3.700006133,8.600014255,-0.300000497,-15.8,-24.2,113.5,9.362173198,1032,1684,1312,428,,28.871392,749.343856,78,7.678,7.859,NE,4.1977056,Calm
199.6,32.82517326,-95.30650629,423,,-3.600005967,8.700014421,-0.100000166,-22.3,-25.3,110.4,9.41542818,1029,1684,1393,364,,29.855644,745.406848,78,7.678,7.859,NE,4.1977056,Calm
199.7,32.82517064,-95.30649733,423,,-3.000004973,9.100015084,-0.400000663,-29.6,-11.1,107.4,9.581769081,1026,1684,1405,364,,29.855644,743.11026,78,7.678,7.859,NE,4.1977056,Calm
199.8,32.82516836,-95.30648735,423,,-2.100003481,9.20001525,-1.100001823,-33.8,-4.3,100.8,9.436646039,1027,1684,1423,366,,31.16798,741.141756,78,7.678,7.859,NE,4.1977056,Calm
199.9,32.82516725,-95.30647662,424,,-1.200001989,9.100015084,-1.400002321,-35.1,-3.9,91,9.178794708,1026,1684,1430,372,,32.152232,741.141756,78,7.678,7.859,NE,4.1977056,Calm
200,32.82516671,-95.30646707,424,,-0.200000332,8.800014587,-1.800002984,-34,-4.5,82,8.802286891,1026,1684,1297,803,,34.120736,741.46984,78,7.678,7.859,NE,4.1977056,Calm
200.1,32.82516733,-95.30645777,425,,0.500000829,8.50001409,-2.000003315,-33.5,-8.9,74.8,8.514706953,1025,1684,1149,1024,,36.417324,743.438344,78,7.678,7.859,NE,4.1977056,Calm
200.2,32.8251681,-95.30644936,426,,1.000001658,8.100013427,-1.900003149,-32.1,-14.8,68.4,8.161508249,1024,1684,1174,1108,,37.401576,745.734932,78,7.603,7.859,NE,4.1977056,Calm
200.3,32.82516949,-95.30644078,427,,1.500002486,7.900013095,-1.700002818,-27.7,-26.1,65.4,8.041157481,1024,1684,1177,1206,,39.698164,748.687688,78,7.603,8.22,NE,4.1977056,Calm
200.4,32.82517094,-95.30643287,427,,1.800002984,7.700012764,-1.200001989,-23.1,-31,62.8,7.907604281,1034,1684,1333,1313,,39.698164,751.640444,78,7.603,8.22,NE,4.1977056,Calm
