               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.037278,            0.034438,           0.0049068,              0.4152,              0.5392,             0.39016,             0.17233,             0.03682,            0.036949,            0.056889,           0.0092773,           0.0092773,           0.0092773
                  75,            0.036187,            0.032944,           0.0040938,             0.43076,             0.61685,             0.42742,             0.20487,            0.037082,             0.03788,            0.050896,           0.0092674,           0.0092674,           0.0092674
                  76,            0.037135,            0.034557,           0.0048656,             0.48324,              0.5284,             0.41866,             0.18889,            0.037014,            0.036025,            0.049187,           0.0092575,           0.0092575,           0.0092575
                  77,            0.037515,            0.033966,           0.0042458,             0.40428,             0.54759,             0.36421,             0.15634,            0.041766,            0.037139,            0.053481,           0.0092476,           0.0092476,           0.0092476
                  78,            0.036454,            0.034351,           0.0040534,             0.45191,             0.48558,             0.40083,              0.1774,             0.03653,            0.037621,            0.051883,           0.0092377,           0.0092377,           0.0092377
                  79,            0.036676,            0.033888,           0.0041941,             0.46527,             0.56946,              0.4329,             0.19066,            0.038736,            0.037477,            0.052374,           0.0092278,           0.0092278,           0.0092278
                  80,            0.035554,            0.033714,           0.0046024,              0.4076,              0.5628,             0.39659,             0.17697,            0.038154,            0.038329,             0.06122,           0.0092179,           0.0092179,           0.0092179
                  81,            0.036243,             0.03351,           0.0042053,             0.41281,             0.56187,             0.39905,             0.17856,            0.040179,            0.038294,            0.056995,            0.009208,            0.009208,            0.009208
                  82,            0.035987,            0.033296,            0.003986,             0.44829,             0.60392,             0.44203,             0.19844,            0.037424,             0.03567,            0.051634,           0.0091981,           0.0091981,           0.0091981
                  83,            0.035919,            0.034388,           0.0043918,             0.45023,             0.53734,             0.41754,             0.19221,            0.036934,            0.040126,            0.054665,           0.0091882,           0.0091882,           0.0091882
                  84,            0.035564,            0.033907,           0.0044221,             0.41242,             0.54363,             0.39214,             0.16504,            0.040677,            0.039124,             0.05632,           0.0091783,           0.0091783,           0.0091783
                  85,            0.035855,            0.033099,           0.0043017,              0.3894,             0.54693,              0.3899,             0.17789,            0.037238,            0.038573,            0.051909,           0.0091684,           0.0091684,           0.0091684
                  86,            0.035813,            0.033574,           0.0037828,             0.44121,              0.5643,             0.45163,             0.20533,            0.038777,            0.040375,            0.061761,           0.0091585,           0.0091585,           0.0091585
                  87,            0.034839,            0.033576,           0.0040039,             0.43543,             0.55523,             0.44702,             0.20931,            0.036218,            0.037283,            0.054036,           0.0091486,           0.0091486,           0.0091486
                  88,            0.035337,            0.033534,           0.0039569,              0.4542,             0.51959,             0.39218,              0.1812,            0.037311,            0.038595,            0.058084,           0.0091387,           0.0091387,           0.0091387
                  89,            0.035192,            0.033299,           0.0035384,             0.41212,             0.50559,             0.36443,             0.16945,            0.039348,            0.041196,            0.060344,           0.0091288,           0.0091288,           0.0091288
                  90,            0.034929,            0.033346,           0.0044973,              0.4007,             0.52023,             0.36819,             0.16484,            0.038941,            0.038056,            0.057753,           0.0091189,           0.0091189,           0.0091189
                  91,             0.03496,            0.033036,           0.0037295,             0.42105,             0.54461,             0.37634,             0.17308,            0.038033,            0.039553,            0.056131,            0.009109,            0.009109,            0.009109
                  92,            0.035149,             0.03351,           0.0037041,             0.46254,             0.54273,             0.41267,             0.18665,            0.037195,            0.039501,            0.052261,           0.0090991,           0.0090991,           0.0090991
                  93,            0.034635,            0.032652,           0.0035849,             0.43344,             0.53282,             0.39752,             0.19018,              0.0363,            0.040676,            0.062122,           0.0090892,           0.0090892,           0.0090892
                  94,            0.034022,            0.032604,           0.0032796,             0.42959,             0.52487,             0.38054,             0.17492,            0.037309,            0.039329,            0.063043,           0.0090793,           0.0090793,           0.0090793
                  95,            0.034369,            0.031677,           0.0032857,             0.44649,             0.55752,             0.40959,             0.18901,            0.036832,            0.040553,            0.062941,           0.0090694,           0.0090694,           0.0090694
                  96,            0.033585,            0.032652,           0.0032721,             0.45214,             0.51576,             0.41494,              0.1878,            0.037573,            0.040697,            0.060623,           0.0090595,           0.0090595,           0.0090595
                  97,            0.034026,            0.032775,           0.0034266,             0.42827,              0.4964,             0.38544,             0.17217,            0.038213,            0.040301,              0.0608,           0.0090496,           0.0090496,           0.0090496
                  98,            0.033841,            0.032316,           0.0033368,             0.41954,             0.50938,             0.41619,             0.18724,            0.038879,            0.040556,            0.065134,           0.0090397,           0.0090397,           0.0090397
                  99,            0.033903,            0.032591,           0.0032331,             0.42259,             0.48775,             0.35305,             0.16649,            0.038042,            0.039333,            0.059245,           0.0090298,           0.0090298,           0.0090298
                 100,            0.033894,            0.032626,           0.0032416,             0.42152,             0.46792,             0.36345,             0.16479,            0.038435,            0.038884,            0.060016,           0.0090199,           0.0090199,           0.0090199
                 101,            0.034534,            0.032594,            0.002899,             0.38917,             0.48043,             0.34674,             0.16132,            0.037368,            0.038439,            0.061307,             0.00901,             0.00901,             0.00901
                 102,            0.033407,            0.031913,           0.0032669,             0.43681,             0.49498,             0.39317,             0.18011,            0.036942,            0.036504,            0.056207,           0.0090001,           0.0090001,           0.0090001
                 103,            0.034021,            0.032181,           0.0031845,             0.41021,             0.48862,             0.38472,             0.17208,            0.038568,            0.038289,            0.056599,           0.0089902,           0.0089902,           0.0089902
                 104,            0.033208,            0.032192,           0.0030798,             0.43667,             0.48907,             0.39659,             0.17955,            0.037627,            0.039608,            0.059151,           0.0089803,           0.0089803,           0.0089803
                 105,            0.032831,            0.031153,           0.0027732,             0.44986,             0.51104,             0.41531,             0.19422,            0.036278,            0.038277,            0.057977,           0.0089704,           0.0089704,           0.0089704
                 106,            0.032916,            0.032232,           0.0030589,             0.46778,             0.53282,             0.39306,              0.1759,            0.037017,            0.036174,            0.059937,           0.0089605,           0.0089605,           0.0089605
                 107,             0.03282,            0.031482,           0.0031764,             0.43342,             0.55793,             0.42959,             0.18552,            0.036922,            0.036952,            0.055763,           0.0089506,           0.0089506,           0.0089506
                 108,            0.032969,            0.031448,           0.0033692,             0.45884,             0.56687,             0.44857,              0.1929,            0.038191,            0.039217,            0.057843,           0.0089407,           0.0089407,           0.0089407
                 109,            0.032922,             0.03155,           0.0028856,             0.41506,              0.5553,             0.38991,             0.17837,            0.037795,             0.03974,            0.056712,           0.0089308,           0.0089308,           0.0089308
                 110,            0.032989,            0.031567,            0.003105,             0.44232,              0.5134,             0.39295,             0.18295,            0.038817,            0.039069,            0.061502,           0.0089209,           0.0089209,           0.0089209
                 111,            0.032051,            0.031015,           0.0026837,             0.41749,             0.55007,             0.40212,             0.18739,            0.036998,            0.037719,             0.06022,            0.008911,            0.008911,            0.008911
